Date,Price
2021-05-08,45.73
2021-05-09,44.35
2021-05-10,42.94
2021-05-11,44.64
2021-05-12,42.94
2021-05-13,41.0
2021-05-14,42.79
2021-05-15,43.46
2021-05-16,46.85
2021-05-17,46.65
2021-05-18,55.98
2021-05-19,34.96
2021-05-20,44.42
2021-05-21,38.91
2021-05-22,31.28
2021-05-23,24.53
2021-05-24,31.45
2021-05-25,30.08
2021-05-26,35.46
2021-05-27,33.71
2021-05-28,29.0
2021-05-29,27.39
2021-05-30,28.6
2021-05-31,32.78
2021-06-01,30.98
2021-06-02,33.98
2021-06-03,39.56
2021-06-04,37.42
2021-06-05,39.75
2021-06-06,42.23
2021-06-07,38.28
2021-06-08,41.26
2021-06-09,42.03
2021-06-10,41.09
2021-06-11,36.18
2021-06-12,36.48
2021-06-13,38.72
2021-06-14,39.72
2021-06-15,39.55
2021-06-16,39.63
2021-06-17,39.22
2021-06-18,36.79
2021-06-19,35.19
2021-06-20,35.25
2021-06-21,26.65
2021-06-22,26.98
2021-06-23,30.84
2021-06-24,31.18
2021-06-25,28.63
2021-06-26,29.67
2021-06-27,31.87
2021-06-28,33.0
2021-06-29,33.94
2021-06-30,35.53
2021-07-01,33.32
2021-07-02,34.0
2021-07-03,34.5
2021-07-04,34.32
2021-07-05,32.93
2021-07-06,34.23
2021-07-07,36.72
2021-07-08,33.14
2021-07-09,33.3
2021-07-10,31.72
2021-07-11,32.19
2021-07-12,30.78
2021-07-13,29.12
2021-07-14,31.36
2021-07-15,28.55
2021-07-16,26.27
2021-07-17,26.75
2021-07-18,26.67
2021-07-19,24.5
2021-07-20,23.46
2021-07-21,26.63
2021-07-22,27.71
2021-07-23,28.51
2021-07-24,28.65
2021-07-25,28.19
2021-07-26,28.22
2021-07-27,28.14
2021-07-28,27.88
2021-07-29,31.28
2021-07-30,32.38
2021-07-31,36.74
2021-08-01,34.2
2021-08-02,33.19
2021-08-03,34.11
2021-08-04,35.78
2021-08-05,37.37
2021-08-06,39.52
2021-08-07,39.48
2021-08-08,37.67
2021-08-09,38.69
2021-08-10,40.68
2021-08-11,41.66
2021-08-12,41.09
2021-08-13,44.89
2021-08-14,44.16
2021-08-15,53.53
2021-08-16,62.15
2021-08-17,64.18
2021-08-18,72.79
2021-08-19,72.82
2021-08-20,78.68
2021-08-21,73.89
2021-08-22,72.75
2021-08-23,75.66
2021-08-24,70.67
2021-08-25,71.94
2021-08-26,74.85
2021-08-27,88.11
2021-08-28,96.38
2021-08-29,94.29
2021-08-30,110.17
2021-08-31,108.34
2021-09-01,110.73
2021-09-02,128.29
2021-09-03,146.46
2021-09-04,139.0
2021-09-05,142.11
2021-09-06,164.31
2021-09-07,173.2
2021-09-08,191.01
2021-09-09,187.7
2021-09-10,179.5
2021-09-11,179.1
2021-09-12,174.4
2021-09-13,169.66
2021-09-14,158.92
2021-09-15,158.66
2021-09-16,152.11
2021-09-17,147.49
2021-09-18,169.36
2021-09-19,152.86
2021-09-20,132.08
2021-09-21,124.04
2021-09-22,148.18
2021-09-23,150.0
2021-09-24,139.28
2021-09-25,136.16
2021-09-26,135.84
2021-09-27,136.35
2021-09-28,132.21
2021-09-29,135.3
2021-09-30,141.32
2021-10-01,161.67
2021-10-02,168.99
2021-10-03,173.06
2021-10-04,167.21
2021-10-05,164.63
2021-10-06,153.92
2021-10-07,154.35
2021-10-08,158.83
2021-10-09,156.82
2021-10-10,147.67
2021-10-11,144.92
2021-10-12,152.43
2021-10-13,148.06
2021-10-14,150.01
2021-10-15,163.17
2021-10-16,157.56
2021-10-17,160.04
2021-10-18,157.15
2021-10-19,155.89
2021-10-20,176.81
2021-10-21,190.25
2021-10-22,196.22
2021-10-23,197.73
2021-10-24,202.3
2021-10-25,209.85
2021-10-26,199.72
2021-10-27,184.52
2021-10-28,194.85
2021-10-29,200.41
2021-10-30,195.91
2021-10-31,202.66
2021-11-01,203.51
2021-11-02,221.14
2021-11-03,243.02
2021-11-04,247.17
2021-11-05,236.34
2021-11-06,258.63
2021-11-07,249.76
2021-11-08,248.35
2021-11-09,239.03
2021-11-10,233.62
2021-11-11,233.51
2021-11-12,228.64
2021-11-13,241.66
2021-11-14,238.71
2021-11-15,238.17
2021-11-16,219.09
2021-11-17,218.95
2021-11-18,195.24
2021-11-19,215.39
2021-11-20,217.89
2021-11-21,230.56
2021-11-22,215.78
2021-11-23,221.94
2021-11-24,205.75
2021-11-25,210.06
2021-11-26,192.24
2021-11-27,193.0
2021-11-28,200.92
2021-11-29,204.22
2021-11-30,208.43
2021-12-01,229.91
2021-12-02,233.89
2021-12-03,211.87
2021-12-04,201.01
2021-12-05,196.74
2021-12-06,194.03
2021-12-07,190.38
2021-12-08,194.74
2021-12-09,181.41
2021-12-10,167.65
2021-12-11,172.08
2021-12-12,173.0
2021-12-13,155.15
2021-12-14,161.43
2021-12-15,178.55
2021-12-16,176.92
2021-12-17,175.65
2021-12-18,182.92
2021-12-19,180.02
2021-12-20,174.01
2021-12-21,179.76
2021-12-22,178.36
2021-12-23,190.12
2021-12-24,190.43
2021-12-25,193.05
2021-12-26,197.89
2021-12-27,195.73
2021-12-28,177.25
2021-12-29,170.62
2021-12-30,172.53
2021-12-31,169.93
2022-01-01,179.09
2022-01-02,176.4
2022-01-03,170.08
2022-01-04,167.75
2022-01-05,154.36
2022-01-06,150.23
2022-01-07,136.39
2022-01-08,142.11
2022-01-09,140.77
2022-01-10,135.86
2022-01-11,140.25
2022-01-12,151.51
2022-01-13,146.2
2022-01-14,146.18
2022-01-15,147.74
2022-01-16,147.96
2022-01-17,139.84
2022-01-18,141.29
2022-01-19,135.3
2022-01-20,127.65
2022-01-21,112.47
2022-01-22,94.68
2022-01-23,99.81
2022-01-24,91.99
2022-01-25,94.65
2022-01-26,92.14
2022-01-27,89.56
2022-01-28,91.36
2022-01-29,96.16
2022-01-30,93.32
2022-01-31,99.54
2022-02-01,110.09
2022-02-02,101.89
2022-02-03,101.9
