2026-01-09 08:54:26,301 - INFO - __init__: is_live_trading = False, filename = data/ethereum_half_hourly_historical_data_2_days.csv
2026-01-09 08:54:26,473 - INFO - __init__ completed
2026-01-09 08:54:26,659 - INFO - Current time: 2024-04-23 03:20:28, Current price: 3201.2626779546563, Balance: $1000, Eth: 0
2026-01-09 08:54:26,659 - INFO - Current time: 2024-04-23 03:25:27, Current price: 3197.413623911221, Balance: $1000, Eth: 0
2026-01-09 08:54:26,659 - INFO - Current time: 2024-04-23 03:30:02, Current price: 3197.7867338273527, Balance: $1000, Eth: 0
2026-01-09 08:54:26,659 - INFO - Current time: 2024-04-23 03:35:03, Current price: 3191.7839596108147, Balance: $1000, Eth: 0
2026-01-09 08:54:26,660 - INFO - Current time: 2024-04-23 03:40:42, Current price: 3188.873876222166, Balance: $1000, Eth: 0
2026-01-09 08:54:26,660 - INFO - Current time: 2024-04-23 03:45:53, Current price: 3189.540713537023, Balance: $1000, Eth: 0
2026-01-09 08:54:26,660 - INFO - Current time: 2024-04-23 03:50:23, Current price: 3189.864581474945, Balance: $1000, Eth: 0
2026-01-09 08:54:26,660 - INFO - Current time: 2024-04-23 03:56:19, Current price: 3186.4858874390884, Balance: $1000, Eth: 0
2026-01-09 08:54:26,660 - INFO - Current time: 2024-04-23 04:01:55, Current price: 3184.232898605708, Balance: $1000, Eth: 0
2026-01-09 08:54:26,661 - INFO - Current time: 2024-04-23 04:05:35, Current price: 3188.923568448421, Balance: $1000, Eth: 0
2026-01-09 08:54:26,661 - INFO - Current time: 2024-04-23 04:11:27, Current price: 3189.4878130185066, Balance: $1000, Eth: 0
2026-01-09 08:54:26,661 - INFO - Current time: 2024-04-23 04:15:27, Current price: 3191.128833889164, Balance: $1000, Eth: 0
2026-01-09 08:54:26,661 - INFO - Current time: 2024-04-23 04:21:13, Current price: 3192.3153956804804, Balance: $1000, Eth: 0
2026-01-09 08:54:26,661 - INFO - Current time: 2024-04-23 04:26:03, Current price: 3190.3483459580093, Balance: $1000, Eth: 0
2026-01-09 08:54:26,662 - INFO - Current time: 2024-04-23 04:31:24, Current price: 3187.8443261306365, Balance: $1000, Eth: 0
2026-01-09 08:54:26,662 - INFO - Current time: 2024-04-23 04:36:02, Current price: 3190.7068436848426, Balance: $1000, Eth: 0
2026-01-09 08:54:26,662 - INFO - Current time: 2024-04-23 04:40:46, Current price: 3192.702452198635, Balance: $1000, Eth: 0
2026-01-09 08:54:26,662 - INFO - Current time: 2024-04-23 04:46:11, Current price: 3189.9192003816424, Balance: $1000, Eth: 0
2026-01-09 08:54:26,662 - INFO - Current time: 2024-04-23 04:50:39, Current price: 3182.763954172658, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 04:55:15, Current price: 3176.805969302833, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 05:01:19, Current price: 3175.760327562802, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 05:05:33, Current price: 3181.450789050532, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 05:10:30, Current price: 3180.9988926652104, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 05:16:28, Current price: 3180.469444229665, Balance: $1000, Eth: 0
2026-01-09 08:54:26,663 - INFO - Current time: 2024-04-23 05:20:20, Current price: 3178.3452242645826, Balance: $1000, Eth: 0
2026-01-09 08:54:26,664 - INFO - Current time: 2024-04-23 05:25:29, Current price: 3177.228291998645, Balance: $1000, Eth: 0
2026-01-09 08:54:26,664 - INFO - Current time: 2024-04-23 05:30:06, Current price: 3182.471385878913, Balance: $1000, Eth: 0
2026-01-09 08:54:26,664 - INFO - Current time: 2024-04-23 05:35:32, Current price: 3187.0884352104454, Balance: $1000, Eth: 0
2026-01-09 08:54:26,664 - INFO - Current time: 2024-04-23 05:40:12, Current price: 3186.832234976644, Balance: $1000, Eth: 0
2026-01-09 08:54:26,665 - INFO - Current time: 2024-04-23 05:45:11, Current price: 3185.6664850726866, Balance: $1000, Eth: 0
2026-01-09 08:54:26,665 - INFO - Current time: 2024-04-23 05:50:28, Current price: 3183.267466571455, Balance: $1000, Eth: 0
2026-01-09 08:54:26,665 - INFO - Current time: 2024-04-23 05:55:13, Current price: 3184.8850740826883, Balance: $1000, Eth: 0
2026-01-09 08:54:26,665 - INFO - Current time: 2024-04-23 06:00:57, Current price: 3186.2046228214544, Balance: $1000, Eth: 0
2026-01-09 08:54:26,665 - INFO - Current time: 2024-04-23 06:06:43, Current price: 3189.420508068946, Balance: $1000, Eth: 0
2026-01-09 08:54:26,666 - INFO - Current time: 2024-04-23 06:10:20, Current price: 3191.262327460607, Balance: $1000, Eth: 0
2026-01-09 08:54:26,666 - INFO - Current time: 2024-04-23 06:15:38, Current price: 3188.711624293054, Balance: $1000, Eth: 0
2026-01-09 08:54:26,666 - INFO - Current time: 2024-04-23 06:20:52, Current price: 3187.3848275881965, Balance: $1000, Eth: 0
2026-01-09 08:54:26,666 - INFO - Current time: 2024-04-23 06:26:01, Current price: 3188.1569314728054, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:30:30, Current price: 3191.6328364138194, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:35:42, Current price: 3185.9301746593524, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:40:03, Current price: 3187.38048893916, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:45:38, Current price: 3185.0452621421364, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:50:51, Current price: 3184.040749078495, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 06:56:23, Current price: 3173.4617358243013, Balance: $1000, Eth: 0
2026-01-09 08:54:26,667 - INFO - Current time: 2024-04-23 07:00:41, Current price: 3174.6165093072896, Balance: $1000, Eth: 0
2026-01-09 08:54:26,668 - INFO - Current time: 2024-04-23 07:05:51, Current price: 3177.0888330554244, Balance: $1000, Eth: 0
2026-01-09 08:54:26,668 - INFO - Current time: 2024-04-23 07:11:23, Current price: 3178.0245520859803, Balance: $1000, Eth: 0
2026-01-09 08:54:26,668 - INFO - Current time: 2024-04-23 07:16:16, Current price: 3170.915864466191, Balance: $1000, Eth: 0
2026-01-09 08:54:26,668 - INFO - Current time: 2024-04-23 07:20:56, Current price: 3174.851825440357, Balance: $1000, Eth: 0
2026-01-09 08:54:26,668 - INFO - Current time: 2024-04-23 07:25:20, Current price: 3172.381875172831, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:31:18, Current price: 3170.1520837477747, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:35:35, Current price: 3161.696547054796, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:41:09, Current price: 3159.2893511966795, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:45:26, Current price: 3159.389020147907, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:51:08, Current price: 3163.4086503934204, Balance: $1000, Eth: 0
2026-01-09 08:54:26,669 - INFO - Current time: 2024-04-23 07:55:55, Current price: 3162.945411477981, Balance: $1000, Eth: 0
2026-01-09 08:54:26,670 - INFO - Current time: 2024-04-23 08:02:08, Current price: 3161.7022396675097, Balance: $1000, Eth: 0
2026-01-09 08:54:26,670 - INFO - Current time: 2024-04-23 08:05:53, Current price: 3162.3213558247653, Balance: $1000, Eth: 0
2026-01-09 08:54:26,670 - INFO - Current time: 2024-04-23 08:12:11, Current price: 3160.5219187835933, Balance: $1000, Eth: 0
2026-01-09 08:54:26,670 - INFO - Current time: 2024-04-23 08:15:17, Current price: 3153.78400738874, Balance: $1000, Eth: 0
2026-01-09 08:54:26,671 - INFO - Current time: 2024-04-23 08:20:57, Current price: 3162.5806321568944, Balance: $1000, Eth: 0
2026-01-09 08:54:26,671 - INFO - Current time: 2024-04-23 08:25:53, Current price: 3164.905927806252, Balance: $1000, Eth: 0
2026-01-09 08:54:26,671 - INFO - Current time: 2024-04-23 08:31:01, Current price: 3165.300933807166, Balance: $1000, Eth: 0
2026-01-09 08:54:26,671 - INFO - Current time: 2024-04-23 08:35:22, Current price: 3161.936917046762, Balance: $1000, Eth: 0
2026-01-09 08:54:26,672 - INFO - Current time: 2024-04-23 08:40:56, Current price: 3163.833379118046, Balance: $1000, Eth: 0
2026-01-09 08:54:26,672 - INFO - Current time: 2024-04-23 08:46:30, Current price: 3167.7823317812463, Balance: $1000, Eth: 0
2026-01-09 08:54:26,672 - INFO - Current time: 2024-04-23 08:50:40, Current price: 3167.8226047349262, Balance: $1000, Eth: 0
2026-01-09 08:54:26,672 - INFO - Current time: 2024-04-23 08:55:10, Current price: 3169.7975663004954, Balance: $1000, Eth: 0
